key,stand,significant,factor,date
Busch Stadium,R,yes,-0.5321344911974972,2026-08-16
Wrigley Field,L,no (CI overlaps baseline),0.3854662155498185,2026-08-17
Yankee Stadium,L,no (CI overlaps baseline),0.3331361277140037,2026-08-17
T-Mobile Park,L,no (CI overlaps baseline),0.2513933783266995,2026-08-17
Nationals Park,L,no (CI overlaps baseline),0.2285123245569875,2026-08-17
Citizens Bank Park,L,no (CI overlaps baseline),0.2273108663233447,2026-08-17
Sutter Health Park,L,no (CI overlaps baseline),0.1905205194792829,2026-08-17
PNC Park,L,no (CI overlaps baseline),0.1530163831512543,2026-08-17
Rogers Centre,L,no (CI overlaps baseline),0.143907159238213,2026-08-17
Daikin Park,L,no (CI overlaps baseline),0.1431225385392072,2026-08-17
Great American Ball Park,L,no (CI overlaps baseline),0.1269132455863362,2026-08-17
Truist Park,L,no (CI overlaps baseline),0.1106741897480871,2026-08-17
Oriole Park at Camden Yards,L,no (CI overlaps baseline),0.1081671819505172,2026-08-17
Tropicana Field,L,no (CI overlaps baseline),0.0967957086683928,2026-08-17
Globe Life Field,L,no (CI overlaps baseline),0.0796871450107055,2026-08-17
American Family Field,L,no (CI overlaps baseline),0.072174900749051,2026-08-17
Progressive Field,L,no (CI overlaps baseline),0.0307080867814397,2026-08-17
Coors Field,L,no (CI overlaps baseline),0.0234332631046876,2026-08-17
loanDepot park,L,no (CI overlaps baseline),0.0189979611287718,2026-08-17
Citi Field,L,no (CI overlaps baseline),-0.0111326393219518,2026-08-17
Chase Field,L,no (CI overlaps baseline),-0.0311186902366831,2026-08-17
UNIQLO Field at Dodger Stadium,L,no (CI overlaps baseline),-0.1106965287327095,2026-08-17
Rate Field,L,no (CI overlaps baseline),-0.1483162870856121,2026-08-17
Fenway Park,L,no (CI overlaps baseline),-0.2263761318267674,2026-08-17
Oracle Park,L,no (CI overlaps baseline),-0.2441728509194615,2026-08-17
Target Field,L,no (CI overlaps baseline),-0.2481135021674635,2026-08-17
Comerica Park,L,no (CI overlaps baseline),-0.3052406878037794,2026-08-17
Kauffman Stadium,L,no (CI overlaps baseline),-0.3172886039111875,2026-08-17
Petco Park,L,no (CI overlaps baseline),-0.318616990277206,2026-08-17
Busch Stadium,L,yes,-0.3490130442251239,2026-08-17
Angel Stadium,L,yes,-0.4138512390988522,2026-08-17
Tropicana Field,R,yes,0.7629491285489871,2026-08-17
Daikin Park,R,no (CI overlaps baseline),0.5437132457407985,2026-08-17
Globe Life Field,R,no (CI overlaps baseline),0.317373014988497,2026-08-17
Chase Field,R,no (CI overlaps baseline),0.3000878032657839,2026-08-17
American Family Field,R,no (CI overlaps baseline),0.2278533754869487,2026-08-17
Comerica Park,R,no (CI overlaps baseline),0.1729114154653979,2026-08-17
loanDepot park,R,no (CI overlaps baseline),0.1615798056075164,2026-08-17
T-Mobile Park,R,no (CI overlaps baseline),0.144595136351828,2026-08-17
Sutter Health Park,R,no (CI overlaps baseline),0.1396310375687324,2026-08-17
Nationals Park,R,no (CI overlaps baseline),0.1251929124878543,2026-08-17
Coors Field,R,no (CI overlaps baseline),0.0730174315206604,2026-08-17
Wrigley Field,R,no (CI overlaps baseline),0.0054522376770151,2026-08-17
UNIQLO Field at Dodger Stadium,R,no (CI overlaps baseline),-0.0009332667887279,2026-08-17
Citi Field,R,no (CI overlaps baseline),-0.0018610478629832,2026-08-17
Progressive Field,R,no (CI overlaps baseline),-0.0023437036282153,2026-08-17
Yankee Stadium,R,no (CI overlaps baseline),-0.010012633366206,2026-08-17
Kauffman Stadium,R,no (CI overlaps baseline),-0.0132527753724399,2026-08-17
Great American Ball Park,R,no (CI overlaps baseline),-0.0215082934966307,2026-08-17
Citizens Bank Park,R,no (CI overlaps baseline),-0.0898772791743754,2026-08-17
Rate Field,R,no (CI overlaps baseline),-0.0925032985699145,2026-08-17
Target Field,R,no (CI overlaps baseline),-0.1435193449869589,2026-08-17
Petco Park,R,no (CI overlaps baseline),-0.1560108304971136,2026-08-17
Fenway Park,R,no (CI overlaps baseline),-0.175183315951142,2026-08-17
Rogers Centre,R,no (CI overlaps baseline),-0.1757425638605517,2026-08-17
Oriole Park at Camden Yards,R,no (CI overlaps baseline),-0.1993056706941478,2026-08-17
Oracle Park,R,no (CI overlaps baseline),-0.2126191130892529,2026-08-17
Truist Park,R,yes,-0.3480683315479997,2026-08-17
Angel Stadium,R,yes,-0.3509274778475282,2026-08-17
PNC Park,R,yes,-0.4428961694181701,2026-08-17
Busch Stadium,R,yes,-0.5377914285576704,2026-08-17
Wrigley Field,L,yes,0.4411374333793927,2026-08-18
Yankee Stadium,L,no (CI overlaps baseline),0.335142518509248,2026-08-18
T-Mobile Park,L,no (CI overlaps baseline),0.2516832286539916,2026-08-18
Nationals Park,L,no (CI overlaps baseline),0.2314379035655949,2026-08-18
Citizens Bank Park,L,no (CI overlaps baseline),0.1891101996884849,2026-08-18
Sutter Health Park,L,no (CI overlaps baseline),0.1789169349730361,2026-08-18
PNC Park,L,no (CI overlaps baseline),0.1589981742247515,2026-08-18
Rogers Centre,L,no (CI overlaps baseline),0.1470584720863066,2026-08-18
Daikin Park,L,no (CI overlaps baseline),0.1391666243389517,2026-08-18
Truist Park,L,no (CI overlaps baseline),0.1284488058090398,2026-08-18
Great American Ball Park,L,no (CI overlaps baseline),0.0920483343572777,2026-08-18
Oriole Park at Camden Yards,L,no (CI overlaps baseline),0.0856738164024792,2026-08-18
Coors Field,L,no (CI overlaps baseline),0.0823708686929103,2026-08-18
Globe Life Field,L,no (CI overlaps baseline),0.0781138283163307,2026-08-18
Tropicana Field,L,no (CI overlaps baseline),0.0765531840996665,2026-08-18
American Family Field,L,no (CI overlaps baseline),0.0714247386135795,2026-08-18
loanDepot park,L,no (CI overlaps baseline),0.0351792205667493,2026-08-18
Progressive Field,L,no (CI overlaps baseline),0.0289898006796793,2026-08-18
Citi Field,L,no (CI overlaps baseline),-0.0149188179263943,2026-08-18
Chase Field,L,no (CI overlaps baseline),-0.0332500377747007,2026-08-18
UNIQLO Field at Dodger Stadium,L,no (CI overlaps baseline),-0.1206268875888942,2026-08-18
Rate Field,L,no (CI overlaps baseline),-0.1584884622985886,2026-08-18
Fenway Park,L,no (CI overlaps baseline),-0.2306933295638695,2026-08-18
Oracle Park,L,no (CI overlaps baseline),-0.2370632184759421,2026-08-18
Target Field,L,no (CI overlaps baseline),-0.2631961761761029,2026-08-18
Comerica Park,L,no (CI overlaps baseline),-0.2998822830817765,2026-08-18
Kauffman Stadium,L,no (CI overlaps baseline),-0.3114895158979388,2026-08-18
Petco Park,L,no (CI overlaps baseline),-0.3146958663868401,2026-08-18
Busch Stadium,L,yes,-0.3518604898087289,2026-08-18
Angel Stadium,L,yes,-0.415289001977709,2026-08-18
Tropicana Field,R,yes,0.8855926272753349,2026-08-18
Daikin Park,R,no (CI overlaps baseline),0.546436369215636,2026-08-18
Globe Life Field,R,no (CI overlaps baseline),0.3192729688382227,2026-08-18
Chase Field,R,no (CI overlaps baseline),0.2988595257727582,2026-08-18
American Family Field,R,no (CI overlaps baseline),0.2301752621241619,2026-08-18
loanDepot park,R,no (CI overlaps baseline),0.1827644050116161,2026-08-18
Comerica Park,R,no (CI overlaps baseline),0.1740141106275301,2026-08-18
T-Mobile Park,R,no (CI overlaps baseline),0.1403482036803385,2026-08-18
Sutter Health Park,R,no (CI overlaps baseline),0.1227651841131949,2026-08-18
Nationals Park,R,no (CI overlaps baseline),0.1185058691600078,2026-08-18
Coors Field,R,no (CI overlaps baseline),0.0426014044362053,2026-08-18
Kauffman Stadium,R,no (CI overlaps baseline),0.0222700756777516,2026-08-18
Wrigley Field,R,no (CI overlaps baseline),0.0029518247636797,2026-08-18
Great American Ball Park,R,no (CI overlaps baseline),-0.0023032084948966,2026-08-18
Progressive Field,R,no (CI overlaps baseline),-0.0060283471860334,2026-08-18
UNIQLO Field at Dodger Stadium,R,no (CI overlaps baseline),-0.0113948215267531,2026-08-18
Yankee Stadium,R,no (CI overlaps baseline),-0.0170020865030997,2026-08-18
Citi Field,R,no (CI overlaps baseline),-0.0375506799137748,2026-08-18
Citizens Bank Park,R,no (CI overlaps baseline),-0.1110110172642639,2026-08-18
Rate Field,R,no (CI overlaps baseline),-0.1148127622820791,2026-08-18
Petco Park,R,no (CI overlaps baseline),-0.1407690454810467,2026-08-18
Target Field,R,no (CI overlaps baseline),-0.1710150203312905,2026-08-18
Fenway Park,R,no (CI overlaps baseline),-0.1788252594533684,2026-08-18
Rogers Centre,R,no (CI overlaps baseline),-0.1799888445656677,2026-08-18
Oracle Park,R,no (CI overlaps baseline),-0.2125230298065586,2026-08-18
Oriole Park at Camden Yards,R,no (CI overlaps baseline),-0.2217623227706217,2026-08-18
Truist Park,R,yes,-0.332306364817411,2026-08-18
