key,stand,significant,factor,date
temp=80-90 wind=Varies speed=10-15mph,R,no (CI overlaps baseline),0.0292670441661906,2026-08-19
temp=<60 wind=Out speed=15+mph,R,no (CI overlaps baseline),0.0276125980281036,2026-08-19
temp=80-90 wind=In speed=5-10mph,R,no (CI overlaps baseline),0.0267136299737493,2026-08-19
temp=90+ wind=Cross speed=15+mph,R,no (CI overlaps baseline),0.0203361218046671,2026-08-19
temp=60-70 wind=Calm speed=10-15mph,R,no (CI overlaps baseline),0.0196409391387895,2026-08-19
temp=60-70 wind=Cross speed=10-15mph,R,no (CI overlaps baseline),0.0183985302963487,2026-08-19
temp=80-90 wind=Out speed=10-15mph,R,no (CI overlaps baseline),0.0179566208457864,2026-08-19
temp=80-90 wind=Calm speed=5-10mph,R,no (CI overlaps baseline),0.0152922173220002,2026-08-19
temp=60-70 wind=Varies speed=10-15mph,R,no (CI overlaps baseline),0.0149315500317455,2026-08-19
temp=80-90 wind=Cross speed=5-10mph,R,no (CI overlaps baseline),0.0140525116158705,2026-08-19
temp=70-80 wind=In speed=10-15mph,R,no (CI overlaps baseline),0.0135013022830572,2026-08-19
temp=60-70 wind=In speed=5-10mph,R,no (CI overlaps baseline),0.0123962258234546,2026-08-19
temp=<60 wind=In speed=10-15mph,R,no (CI overlaps baseline),0.0114188814959903,2026-08-19
temp=80-90 wind=Varies speed=5-10mph,R,no (CI overlaps baseline),0.0105931080099805,2026-08-19
temp=80-90 wind=In speed=0-5mph,R,no (CI overlaps baseline),0.0094560563711414,2026-08-19
temp=90+ wind=Out speed=15+mph,R,no (CI overlaps baseline),0.0056251252877057,2026-08-19
temp=60-70 wind=Out speed=10-15mph,R,no (CI overlaps baseline),0.0037019197108896,2026-08-19
temp=70-80 wind=Calm speed=10-15mph,R,no (CI overlaps baseline),0.0021554683149245,2026-08-19
temp=60-70 wind=Calm speed=5-10mph,R,no (CI overlaps baseline),0.0010567978307152,2026-08-19
temp=70-80 wind=Cross speed=10-15mph,R,no (CI overlaps baseline),0.0009240630758799,2026-08-19
temp=60-70 wind=Cross speed=5-10mph,R,no (CI overlaps baseline),-0.0001739040371165,2026-08-19
temp=80-90 wind=Out speed=5-10mph,R,no (CI overlaps baseline),-0.0006116429877612,2026-08-19
temp=<60 wind=Cross speed=10-15mph,R,no (CI overlaps baseline),-0.0011449487100574,2026-08-19
