factor_type,key,stand,factor,factor_ci_low,factor_ci_high,significant,n
weather,temp=60-70 wind=Out speed=15+mph,R,0.04283215530011386,-0.206995373465934,0.2926596840661617,no (CI overlaps baseline),56
weather,temp=80-90 wind=Calm speed=5-10mph,R,0.04272695419726169,-0.12694085014238032,0.2123947585369037,no (CI overlaps baseline),10
weather,temp=90+ wind=In speed=10-15mph,R,0.04230936436178734,-0.19483513908718042,0.279453867810755,no (CI overlaps baseline),6
weather,temp=70-80 wind=Out speed=15+mph,R,0.04131692871746351,-0.187849587731316,0.270483445166243,no (CI overlaps baseline),91
weather,temp=90+ wind=Cross speed=5-10mph,R,0.04027484657569258,-0.18517350295715296,0.26572319610853823,no (CI overlaps baseline),97
weather,temp=90+ wind=In speed=5-10mph,R,0.03458973845639979,-0.1985789908382124,0.26775846775101186,no (CI overlaps baseline),17
weather,temp=<60 wind=Out speed=15+mph,R,0.028283193761326375,-0.22434453267418064,0.28091092019683317,no (CI overlaps baseline),25
weather,temp=80-90 wind=Out speed=10-15mph,R,0.026792887617371974,-0.18155078791358858,0.23513656314833242,no (CI overlaps baseline),179
weather,temp=80-90 wind=Cross speed=0-5mph,R,0.024637298050078638,-0.18353379399730485,0.23280839009746246,no (CI overlaps baseline),180
weather,temp=80-90 wind=Out speed=5-10mph,R,0.019114505615126953,-0.1836174728898461,0.2218464841201,no (CI overlaps baseline),619
weather,temp=80-90 wind=In speed=0-5mph,R,0.01898293682545793,-0.1950297192442394,0.23299559289515526,no (CI overlaps baseline),107
weather,temp=60-70 wind=Cross speed=10-15mph,R,0.012942484215701988,-0.2086305684843508,0.23451553691575477,no (CI overlaps baseline),119
weather,temp=70-80 wind=Cross speed=10-15mph,R,0.011443042909076828,-0.18698719414244092,0.20987327996059468,no (CI overlaps baseline),225
weather,temp=80-90 wind=Calm speed=0-5mph,R,0.011335832208956509,-0.13495460390739933,0.15762626832531246,no (CI overlaps baseline),35
weather,temp=90+ wind=Out speed=10-15mph,R,0.01105399694420961,-0.21181814323522385,0.23392613712364319,no (CI overlaps baseline),99
weather,temp=90+ wind=Cross speed=0-5mph,R,0.008910675605939389,-0.2169514408619514,0.23477279207383006,no (CI overlaps baseline),41
weather,temp=60-70 wind=In speed=10-15mph,R,0.007312202640123111,-0.21755293927598263,0.23217734455622896,no (CI overlaps baseline),85
weather,temp=70-80 wind=In speed=10-15mph,R,0.005815915845873487,-0.19690220480203435,0.20853403649378155,no (CI overlaps baseline),125
weather,temp=60-70 wind=Cross speed=5-10mph,R,0.00530278972531284,-0.21318739798554698,0.22379297743617266,no (CI overlaps baseline),289
weather,temp=70-80 wind=Cross speed=5-10mph,R,0.003807642657365662,-0.1904046447280644,0.1980199300427956,no (CI overlaps baseline),581
weather,temp=90+ wind=Out speed=5-10mph,R,0.0034197142599972086,-0.21673306936890957,0.2235724978889042,no (CI overlaps baseline),122
weather,temp=90+ wind=In speed=0-5mph,R,0.0032889107761915337,-0.2300995607634143,0.23667738231579727,no (CI overlaps baseline),12
weather,temp=60-70 wind=Calm speed=10-15mph,R,-0.0003016234702629683,-0.1781334341378955,0.17753018719736957,no (CI overlaps baseline),3
weather,temp=60-70 wind=In speed=5-10mph,R,-0.0003112602791245367,-0.2213137651667254,0.22069124460847633,no (CI overlaps baseline),122
weather,temp=<60 wind=Cross speed=10-15mph,R,-0.0014515574365807637,-0.22537179555113185,0.2224686806779701,no (CI overlaps baseline),49
weather,temp=70-80 wind=Calm speed=10-15mph,R,-0.0017935531109993796,-0.16046921276994042,0.15688210654794155,no (CI overlaps baseline),5
weather,temp=70-80 wind=In speed=5-10mph,R,-0.0018031843384922475,-0.199470428883033,0.19586406020604863,no (CI overlaps baseline),449
weather,temp=60-70 wind=Varies speed=15+mph,R,-0.006894794626216005,-0.29037255044595855,0.27658296119352666,no (CI overlaps baseline),19
weather,temp=<60 wind=In speed=10-15mph,R,-0.007050926864303975,-0.2346238343072018,0.22052198057859385,no (CI overlaps baseline),62
weather,temp=60-70 wind=Calm speed=5-10mph,R,-0.007902672310869385,-0.17978008789040678,0.16397474326866823,no (CI overlaps baseline),8
weather,temp=<60 wind=Cross speed=5-10mph,R,-0.009049174640806679,-0.23118110555229487,0.2130827562706814,no (CI overlaps baseline),61
weather,temp=70-80 wind=Calm speed=5-10mph,R,-0.009390147382212666,-0.16032364392485443,0.141543349160429,no (CI overlaps baseline),9
weather,temp=80-90 wind=Out speed=0-5mph,R,-0.01200782270183065,-0.21910006871072274,0.19508442330706144,no (CI overlaps baseline),142
weather,temp=<60 wind=In speed=5-10mph,R,-0.014631660465270646,-0.2396344640303718,0.2103711430998303,no (CI overlaps baseline),102
weather,temp=<60 wind=Varies speed=15+mph,R,-0.021177485330020063,-0.30720769560941485,0.2648527249493746,no (CI overlaps baseline),10
