factor_type,key,stand,factor,factor_ci_low,factor_ci_high,significant
park,Citi Field,R,0.022654428903677193,-0.2880657810444238,0.4595157174500184,no (CI overlaps baseline)
park,Progressive Field,R,0.022606716873756705,-0.3208729817443079,0.527132019789835,no (CI overlaps baseline)
park,Coors Field,R,0.007493342438025685,-0.31148053068214365,0.46389990679565907,no (CI overlaps baseline)
park,Kauffman Stadium,R,-0.027564743698489602,-0.32359085723687653,0.38941637007098473,no (CI overlaps baseline)
park,UNIQLO Field at Dodger Stadium,R,-0.03376674197425511,-0.32466207880231823,0.3742038478809864,no (CI overlaps baseline)
park,Yankee Stadium,R,-0.03862419436257658,-0.36764262516301904,0.4497530647524568,no (CI overlaps baseline)
park,Wrigley Field,R,-0.062469271592515474,-0.3161135315514748,0.27949618699120693,no (CI overlaps baseline)
park,Citizens Bank Park,R,-0.12502339117706252,-0.3984437228492269,0.2651880867333476,no (CI overlaps baseline)
park,Rate Field,R,-0.13136900444396027,-0.39991517787029196,0.25020392896589305,no (CI overlaps baseline)
park,Petco Park,R,-0.16708453761269781,-0.419156685940947,0.18819984801496714,no (CI overlaps baseline)
park,Rogers Centre,R,-0.1770688561413224,-0.46862448972170145,0.2648583676517189,no (CI overlaps baseline)
park,Fenway Park,R,-0.1986459629765419,-0.44687684258065086,0.15487616290395234,no (CI overlaps baseline)
park,Oriole Park at Camden Yards,R,-0.20872980926725404,-0.4679321014679557,0.16973780900936797,no (CI overlaps baseline)
park,Target Field,R,-0.20959290770452987,-0.44933684954752995,0.12893361862757202,no (CI overlaps baseline)
park,Oracle Park,R,-0.21374888122861346,-0.48657165019323523,0.19582740930226517,no (CI overlaps baseline)
park,Truist Park,R,-0.29960612595356373,-0.5305801403295856,0.03942878483155199,no (CI overlaps baseline)
park,Angel Stadium,R,-0.3279411384021119,-0.523415911866826,-0.05587267613170721,yes
park,PNC Park,R,-0.4845650167836181,-0.6731580944789769,-0.19128569660564787,yes
park,Busch Stadium,R,-0.5367486570846554,-0.7065365447753773,-0.272081840384534,yes
