key,stand,significant,factor,date
temp=60-70 wind=In speed=15+mph,R,no (CI overlaps baseline),0.0625094339889342,2026-08-22
temp=<60 wind=Cross speed=15+mph,R,no (CI overlaps baseline),0.0610777704582863,2026-08-22
temp=80-90 wind=Cross speed=5-10mph,R,no (CI overlaps baseline),0.0551781797314405,2026-08-22
temp=80-90 wind=In speed=10-15mph,R,no (CI overlaps baseline),0.050992702354589,2026-08-22
temp=<60 wind=In speed=15+mph,R,no (CI overlaps baseline),0.049126196502951,2026-08-22
temp=80-90 wind=Calm speed=5-10mph,R,no (CI overlaps baseline),0.0487959247051599,2026-08-22
temp=80-90 wind=In speed=5-10mph,R,no (CI overlaps baseline),0.0432488412522098,2026-08-22
temp=90+ wind=Cross speed=10-15mph,R,no (CI overlaps baseline),0.0422307564437758,2026-08-22
temp=70-80 wind=Out speed=15+mph,R,no (CI overlaps baseline),0.0360788509358891,2026-08-22
temp=60-70 wind=Out speed=15+mph,R,no (CI overlaps baseline),0.0360159168398168,2026-08-22
temp=90+ wind=Cross speed=5-10mph,R,no (CI overlaps baseline),0.034509123079502,2026-08-22
temp=90+ wind=In speed=10-15mph,R,no (CI overlaps baseline),0.0303519471057183,2026-08-22
temp=80-90 wind=Cross speed=0-5mph,R,no (CI overlaps baseline),0.0278298544330544,2026-08-22
temp=80-90 wind=Out speed=10-15mph,R,no (CI overlaps baseline),0.0245984922933337,2026-08-22
temp=<60 wind=Out speed=15+mph,R,no (CI overlaps baseline),0.0227484716481294,2026-08-22
temp=90+ wind=In speed=5-10mph,R,no (CI overlaps baseline),0.022661580207383,2026-08-22
temp=80-90 wind=Calm speed=0-5mph,R,no (CI overlaps baseline),0.0215056224196719,2026-08-22
temp=80-90 wind=Out speed=5-10mph,R,no (CI overlaps baseline),0.0169237374251696,2026-08-22
temp=80-90 wind=In speed=0-5mph,R,no (CI overlaps baseline),0.016010039281179,2026-08-22
temp=60-70 wind=Varies speed=15+mph,R,no (CI overlaps baseline),0.0105694356721768,2026-08-22
temp=70-80 wind=Cross speed=10-15mph,R,no (CI overlaps baseline),0.0074454920537154,2026-08-22
temp=60-70 wind=Cross speed=10-15mph,R,no (CI overlaps baseline),0.0073831966771908,2026-08-22
temp=90+ wind=Cross speed=0-5mph,R,no (CI overlaps baseline),0.0073534811989455,2026-08-22
temp=90+ wind=Out speed=10-15mph,R,no (CI overlaps baseline),0.0041460958124919,2026-08-22
temp=70-80 wind=Calm speed=10-15mph,R,no (CI overlaps baseline),0.0011682063359033,2026-08-22
temp=60-70 wind=Calm speed=10-15mph,R,no (CI overlaps baseline),0.0011060592703888,2026-08-22
temp=70-80 wind=Cross speed=5-10mph,R,no (CI overlaps baseline),-0.0001809045330634,2026-08-22
temp=60-70 wind=Cross speed=5-10mph,R,no (CI overlaps baseline),-0.0002430193346273,2026-08-22
temp=80-90 wind=Varies speed=10-15mph,R,no (CI overlaps baseline),-0.0007435786304806,2026-08-22
temp=<60 wind=Varies speed=15+mph,R,no (CI overlaps baseline),-0.0025763094797515,2026-08-22
temp=90+ wind=Out speed=5-10mph,R,no (CI overlaps baseline),-0.0034706875526016,2026-08-22
temp=70-80 wind=In speed=10-15mph,R,no (CI overlaps baseline),-0.0042857901097332,2026-08-22
temp=60-70 wind=In speed=10-15mph,R,no (CI overlaps baseline),-0.0043478058965188,2026-08-22
temp=90+ wind=In speed=0-5mph,R,no (CI overlaps baseline),-0.0043773879884573,2026-08-22
temp=<60 wind=Cross speed=10-15mph,R,no (CI overlaps baseline),-0.0057465864955179,2026-08-22
temp=70-80 wind=Calm speed=5-10mph,R,no (CI overlaps baseline),-0.0064398142810446,2026-08-22
temp=60-70 wind=Calm speed=5-10mph,R,no (CI overlaps baseline),-0.0065017776003741,2026-08-22
temp=80-90 wind=Varies speed=5-10mph,R,no (CI overlaps baseline),-0.0083459304761956,2026-08-22
temp=80-90 wind=Out speed=0-5mph,R,no (CI overlaps baseline),-0.010057094673594,2026-08-22
temp=70-80 wind=In speed=5-10mph,R,no (CI overlaps baseline),-0.0118775495207577,2026-08-22
temp=60-70 wind=In speed=5-10mph,R,no (CI overlaps baseline),-0.0119393788272804,2026-08-22
temp=<60 wind=Cross speed=5-10mph,R,no (CI overlaps baseline),-0.0133339438891806,2026-08-22
temp=<60 wind=In speed=10-15mph,R,no (CI overlaps baseline),-0.0174174331078794,2026-08-22
temp=90+ wind=Varies speed=10-15mph,R,no (CI overlaps baseline),-0.0209990729541617,2026-08-22
temp=<60 wind=In speed=5-10mph,R,no (CI overlaps baseline),-0.0249689137775993,2026-08-22
temp=70-80 wind=Cross speed=0-5mph,R,no (CI overlaps baseline),-0.0269821214669477,2026-08-22
temp=60-70 wind=Cross speed=0-5mph,R,no (CI overlaps baseline),-0.0270435667868496,2026-08-22
temp=70-80 wind=Out speed=10-15mph,R,no (CI overlaps baseline),-0.0301456421229452,2026-08-22
temp=60-70 wind=Out speed=10-15mph,R,no (CI overlaps baseline),-0.0302070048342646,2026-08-22
temp=90+ wind=Out speed=0-5mph,R,no (CI overlaps baseline),-0.0302362753610069,2026-08-22
temp=70-80 wind=Calm speed=0-5mph,R,no (CI overlaps baseline),-0.0331729457904961,2026-08-22
temp=60-70 wind=Calm speed=0-5mph,R,no (CI overlaps baseline),-0.0332342287412847,2026-08-22
temp=80-90 wind=Varies speed=0-5mph,R,no (CI overlaps baseline),-0.0350580757511572,2026-08-22
temp=70-80 wind=Out speed=5-10mph,R,no (CI overlaps baseline),-0.0376565622881552,2026-08-22
temp=60-70 wind=Out speed=5-10mph,R,no (CI overlaps baseline),-0.0377177258348697,2026-08-22
temp=70-80 wind=In speed=0-5mph,R,no (CI overlaps baseline),-0.0385505019502518,2026-08-22
temp=60-70 wind=In speed=0-5mph,R,no (CI overlaps baseline),-0.0386116415084148,2026-08-22
temp=<60 wind=Cross speed=0-5mph,R,no (CI overlaps baseline),-0.0399906164667293,2026-08-22
temp=<60 wind=Out speed=10-15mph,R,no (CI overlaps baseline),-0.0431363205921891,2026-08-22
temp=<60 wind=Calm speed=0-5mph,R,no (CI overlaps baseline),-0.0461464256248896,2026-08-22
temp=<60 wind=Out speed=5-10mph,R,no (CI overlaps baseline),-0.0506043017289744,2026-08-22
temp=<60 wind=In speed=0-5mph,R,no (CI overlaps baseline),-0.0514930710097403,2026-08-22
temp=70-80 wind=Varies speed=10-15mph,R,no (CI overlaps baseline),-0.0549322699111018,2026-08-22
temp=60-70 wind=Varies speed=10-15mph,R,no (CI overlaps baseline),-0.0549929591623218,2026-08-22
temp=90+ wind=Varies speed=0-5mph,R,no (CI overlaps baseline),-0.05502190840286,2026-08-22
temp=70-80 wind=Varies speed=5-10mph,R,no (CI overlaps baseline),-0.0623599114701326,2026-08-22
temp=60-70 wind=Varies speed=5-10mph,R,no (CI overlaps baseline),-0.0624203898558695,2026-08-22
temp=70-80 wind=Out speed=0-5mph,R,no (CI overlaps baseline),-0.0640312374045509,2026-08-22
temp=60-70 wind=Out speed=0-5mph,R,no (CI overlaps baseline),-0.0640916677669726,2026-08-22
temp=<60 wind=Varies speed=10-15mph,R,no (CI overlaps baseline),-0.0677778361901744,2026-08-22
temp=<60 wind=Out speed=0-5mph,R,no (CI overlaps baseline),-0.0768210790157974,2026-08-22
temp=70-80 wind=Varies speed=0-5mph,R,no (CI overlaps baseline),-0.088428648801936,2026-08-22
temp=<60 wind=Varies speed=0-5mph,R,no (CI overlaps baseline),-0.1010625670214077,2026-08-22
